epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,114.07,1.495,1.90717,1.35095,0.63853,0.44207,0.46349,0.24132,1.62943,1.79657,1.47317,0.000976293,0.000976293,0.000976293
18,120.75,1.45798,1.83302,1.33687,0.55621,0.47077,0.46229,0.26122,1.65819,1.67748,1.48376,0.000947999,0.000947999,0.000947999
19,127.498,1.45338,1.78123,1.32031,0.6658,0.49323,0.52919,0.26159,1.76402,1.58614,1.51778,0.000919704,0.000919704,0.000919704
20,134.386,1.44729,1.64381,1.32035,0.63211,0.48647,0.5311,0.28735,1.64399,1.45027,1.47404,0.00089141,0.00089141,0.00089141
21,141.201,1.40733,1.58985,1.29254,0.59732,0.5288,0.53768,0.27717,1.69112,1.46326,1.45845,0.000863116,0.000863116,0.000863116
22,147.894,1.39598,1.54896,1.27988,0.6235,0.52263,0.53933,0.2862,1.67459,1.55929,1.47129,0.000834822,0.000834822,0.000834822
23,154.196,1.42257,1.47717,1.29627,0.60034,0.52322,0.5492,0.28991,1.57138,1.39978,1.43143,0.000806528,0.000806528,0.000806528
24,160.596,1.38111,1.42066,1.26984,0.69377,0.54029,0.58658,0.33402,1.55786,1.45082,1.39119,0.000778233,0.000778233,0.000778233
25,167.089,1.37504,1.3747,1.26855,0.67017,0.57903,0.61495,0.35144,1.49809,1.29669,1.4098,0.000749939,0.000749939,0.000749939
26,173.555,1.33268,1.31192,1.23208,0.64035,0.49868,0.56333,0.31698,1.603,1.50466,1.4553,0.000721645,0.000721645,0.000721645
27,179.809,1.32215,1.23522,1.23717,0.67901,0.54891,0.59492,0.34552,1.55789,1.57345,1.38236,0.000693351,0.000693351,0.000693351
28,186.236,1.3048,1.19205,1.21603,0.72753,0.54251,0.60308,0.35276,1.52886,1.43175,1.41337,0.000665057,0.000665057,0.000665057
29,194.299,1.28123,1.15,1.21352,0.70939,0.5744,0.62535,0.36591,1.44161,1.29978,1.32964,0.000636762,0.000636762,0.000636762
30,203.945,1.24089,1.06822,1.17484,0.70568,0.53936,0.6092,0.35925,1.49387,1.57657,1.38227,0.000608468,0.000608468,0.000608468
31,212.433,1.23823,1.07187,1.1801,0.72592,0.58267,0.63482,0.36673,1.46164,1.36553,1.33233,0.000580174,0.000580174,0.000580174
32,218.997,1.2318,1.02661,1.16807,0.77495,0.5664,0.64466,0.39773,1.41282,1.38898,1.31788,0.00055188,0.00055188,0.00055188
33,225.479,1.20072,1.00183,1.15717,0.80483,0.59167,0.66938,0.39986,1.39963,1.20037,1.31719,0.000523586,0.000523586,0.000523586
34,231.795,1.1729,0.94612,1.14083,0.71517,0.60944,0.65682,0.38922,1.42973,1.30005,1.34231,0.000495291,0.000495291,0.000495291
35,238.419,1.18182,0.93638,1.14296,0.77827,0.5973,0.66681,0.39939,1.39125,1.17807,1.31558,0.000466997,0.000466997,0.000466997
36,244.614,1.16655,0.90968,1.14312,0.7301,0.62299,0.66232,0.40604,1.37821,1.12348,1.31707,0.000438703,0.000438703,0.000438703
37,251.025,1.11183,0.85444,1.1185,0.79771,0.60607,0.67396,0.40412,1.43235,1.15713,1.34402,0.000410409,0.000410409,0.000410409
38,257.248,1.11467,0.84294,1.11156,0.7144,0.61582,0.66862,0.40325,1.37481,1.13735,1.29979,0.000382115,0.000382115,0.000382115
39,264.321,1.10289,0.82586,1.10548,0.82051,0.56676,0.66508,0.41282,1.38729,1.31363,1.31795,0.00035382,0.00035382,0.00035382
40,270.873,1.10629,0.79678,1.0949,0.76952,0.5966,0.66973,0.40372,1.39808,1.10878,1.31944,0.000325526,0.000325526,0.000325526
41,292.165,1.0878,0.78138,1.09819,0.79406,0.59723,0.68511,0.41141,1.41735,1.18743,1.29989,0.000297232,0.000297232,0.000297232
42,298.119,1.05582,0.75706,1.08022,0.81974,0.60959,0.68836,0.40195,1.4286,1.20171,1.31065,0.000268938,0.000268938,0.000268938
43,304.065,1.02842,0.7438,1.07135,0.7462,0.61209,0.66835,0.40816,1.38517,1.18205,1.30756,0.000240644,0.000240644,0.000240644
44,309.965,1.01944,0.72982,1.0626,0.74722,0.6156,0.68151,0.40918,1.38007,1.22517,1.29836,0.000212349,0.000212349,0.000212349
45,315.893,1.01595,0.71107,1.05568,0.8102,0.62334,0.69279,0.42531,1.34105,1.08538,1.31133,0.000184055,0.000184055,0.000184055
46,321.811,0.98855,0.70327,1.04481,0.74893,0.61143,0.66679,0.4144,1.33572,1.14545,1.27709,0.000155761,0.000155761,0.000155761
47,327.71,0.96841,0.68846,1.04105,0.80079,0.59953,0.68115,0.41229,1.3669,1.16363,1.27975,0.000127467,0.000127467,0.000127467
48,333.615,0.95392,0.68051,1.03296,0.75592,0.63828,0.68525,0.43116,1.31361,1.14599,1.27848,9.91726e-05,9.91726e-05,9.91726e-05
49,339.521,0.94143,0.6685,1.03117,0.77902,0.6047,0.68115,0.42415,1.3221,1.18559,1.26958,7.08784e-05,7.08784e-05,7.08784e-05
50,345.447,0.91985,0.6604,1.02526,0.75419,0.64207,0.694,0.43908,1.30445,1.11775,1.26467,4.25842e-05,4.25842e-05,4.25842e-05
